Kebencanaan	3035		
Nigeria	3025		
Post-Secondary/Non-Tertiary	2992		
School Safety/Violence	2992	Education, culture and sport	Society
Starting a business	2982		
{"de": "Energie", "en": "Energy", "fr": "Énergie", "it": "Energia"}	2915	Energy	
教育・文化・スポーツ・生活	2912	Education, culture and sport	Society
OSP_OD	2886		
Natural Resources	2827		
農林水産業	2807		
Economic Policy & Debt: National accounts: Local currency at constant prices: Aggregate indicators	2787	Economy and finance	Economy
Indications de lieux	2776		
Resolving insolvency	2769		
Indications temporelles	2768		
Environment: Water pollution	2751	Environment	Environment
Land and Resource Management	2736		Planning / Cadastre
Financial Consumer Protection : Alternative Dispute Resolution	2728	Economy and finance	Economy
Infrastructure	2713	Regions and cities	
Verbraucherschutz	2709	Justice, legal system and public safety	
Sociedad y bienestar	2708	Population and society	Society
Discontinued datasets	2702		
{"de": "Verkehr", "en": "Transport", "fr": "Transports", "it": "Trasporti"}	2668	Transport	Transportation
Private Sector & Trade: Travel & tourism	2660		
Norms and Decision-making	2650		
Italian Hub	2627		
公共資訊	2596		
Exchange-traded derivatives statistics	2592	Economy and finance	Economy
Gender: Public life & decision making	2559	Population and society	Society
Financial Inclusion : Simplified Customer Due Diligence	2480	Economy and finance	Economy
Financial Inclusion : Interest Rate Caps	2480	Economy and finance	Economy
Financial Consumer Protection : Frequent Complaints	2480	Economy and finance	Economy
Efficiency	2475		
Bilateral exchange rates	2468	Economy and finance	Economy
Government	2467	Government and public sector	
Vocational & Post-secondary Non-Tertiary	2448		
School Health and School Feeding (SABER)	2448	Health	Health
TidigarePrognoser	2431		
Poverty: Income distribution	2394	Economy and finance	Economy
Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Expenditure on GDP	2394	Economy and finance	Economy
Environment: Freshwater	2394	Environment	Environment
Environment and conservation	2371	Environment	Environment
企業・家計・経済	2366		
DB	2334		
Identification	2314		
Credit to the non-financial sector	2266	Economy and finance	Economy
{"de": "Landwirtschaft, Fischerei, Forstwirtschaft und Nahrungsmittel", "en": "Agriculture, fisheries, forestry and food", "fr": "Agriculture, pêche, sylviculture et alimentation", "it": "Agricoltura, pesca, silvicoltura e prodotti alimentari"}	2222	Agriculture, fisheries, forestry and food	Farming
Environment: Biodiversity & protected areas	2221	Environment	Environment
Recherche Data Gouv	2218		
Economy	2210	Economy and finance	Economy
Biggest Obstacle	2190		
Quintile: Nutrition	2170		
Andmebaas	2168		
Gender: Health	2161	Health	Health
Private Sector & Trade: Private infrastructure investment	2128	Economy and finance	Economy
Poverty:Multidimensional poverty	2128	Economy and finance	Economy
Public Sector: Defense & arms trade	2128	Economy and finance	Economy
Financial Consumer Protection : Business Conduct	2108	Economy and finance	Economy
Economic Policy & Debt: External debt: Arrears, reschedulings, etc.	2094	Economy and finance	Economy
国土・気象	2059		
Pressions transformatrices	2052		
人口・世帯	2051		
Financial Sector: Interest rates	2049	Economy and finance	Economy
Human capital	2044		
Private Sector & Trade: Trade indexes	2040		
Community	2033	Population and society	Society
Chemistry	2013		
Business and Management	2001		
Financial Inclusion	1991	Economy and finance	Economy
Financial Consumer Protection : Institutional Arrangements	1984	Economy and finance	Economy
Atmosphere and Climate	1983	Environment	Climatology / Meteorology / Atmosphere
Turismo	1982		
Markets	1980		
Satellite	1977		
Economic Policy & Debt: Balance of payments: Reserves & other items	1972	Economy and finance	Economy
Model Data	1966		
Inclusão Financeira	1965	Economy and finance	Economy
社会保障・衛生	1962		
生活	1962	Health	Health
Quality of Financial Services	1953	Economy and finance	Economy
Financial Literacy and Capability	1953	Economy and finance	Economy
Assets	1945		
Архивы сайтов	1940		
Economic Policy & Debt: National accounts: Local currency at current prices: Value added	1930	Economy and finance	Economy
Economic Policy & Debt: National accounts: Local currency at constant prices: Value added	1930	Economy and finance	Economy
Corruption	1898	Justice, legal system and public safety	
Geographie und Stadtplanung	1879	Regions and cities	Planning / Cadastre
Estadísticas de Gobierno	1873	Government and public sector	
Financial Sector: Capital markets	1862	Economy and finance	Economy
Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Value added	1862	Economy and finance	Economy
Financial Inclusion : Electronic Money	1860	Economy and finance	Economy
Spatial Data	1818		
Архивы государственных сайтов	1807		
Stability	1800		
TilapiaMap	1781		
Medio ambiente	1744	Environment	Environment
French Hub	1721		
Health and health behaviour	1716	Health	Health
Public Safety	1705	Justice, legal system and public safety	
Economía	1666	Economy and finance	Economy
Workforce	1665		
Economic Policy & Debt: National accounts: US$ at current prices: Value added	1664	Economy and finance	Economy
Poverty: Shared prosperity	1662	Economy and finance	Economy
Liens terre-mer	1662		
Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Aggregate indicators	1629	Economy and finance	Economy
Environment: Natural resources contribution to GDP	1596	Environment	Environment
Social Protection & Labor: Migration	1595		
Changements et transformations	1573		
Renewable Energy	1571	Energy	
Agricultural census and farm structure survey	1515	Agriculture, fisheries, forestry and food	Farming
Finanzas de Gobierno	1514	Government and public sector	
Climate	1508	Environment	Environment
MakStat	1493		
GFZ Data Services	1442		
Surface Currents From HF Radar	1437		
Environment: Environment/climate risk & resilience	1434	Environment	Environment
Economia e Finanças	1420	Economy and finance	Economy
Ocean Networks Canada	1416	Environment	Oceans
Ocean Networks Canada Society	1400	Environment	Oceans
Society	1376	Population and society	Society
Governo e settore pubblico	1367	Government and public sector	
City Government	1366	Regions and cities	
Financial Consumer Protection : Supervisory Activities	1364	Economy and finance	Economy
Economy. Archive	1331	Economy and finance	Economy
Regulations and Taxes	1314		
Climate Indices	1306	Environment	Environment
Economic Policy & Debt: Balance of payments: Current account: Balances	1304	Economy and finance	Economy
Climatology	1302	Environment	Environment
	1285	Agriculture, fisheries, forestry and food	Farming
Inland Waters	1284	Environment	Environment
Contratos	1282	Economy and finance|Government and public sector	Economy
Licitações	1275	Economy and finance	Economy
Labor & Social Protection: Economic activity	1260	Economy and finance	Economy
医療・福祉	1242		
Financial Inclusion : National Strategies	1240	Economy and finance	Economy
Budget Vote Documents	1227	Economy and finance|Government and public sector	Economy
健康・福祉	1212		
Use	1205		
Basic Statistics	1196		
and Operational Data	1196		
Data From Multiparametric Buoys	1171		
Astronomy and Astrophysics	1169	Science and technology	
CLIMAPROOF	1163		
Residential property prices	1162		
Transporte	1144	Transport	Transportation
労働・賃金	1132		
Observed Sea Surface Temperature From CMEMS	1130	Environment	Climatology / Meteorology / Atmosphere|Oceans
Greenland	1127		
Salud y Protección Social	1104	Health	Health
Equality of Opportunities	1100		
Background	1098		
Gender: Participation & access	1096	Population and society	Society
Ordenamiento Territorial	1094		Planning / Cadastre
Social Services	1093	Population and society	Society
政策・統計等	1084	Government and public sector	
Istruzione, cultura e sport	1044	Education, culture and sport	
สาขาเกษตรและประมง	1042	Agriculture, fisheries, forestry and food	Farming
住宅・土地・建設	1030		
Energy	1029	Energy	
{"de": "Gesundheit", "en": "Health", "fr": "Santé", "it": "Salute"}	1028	Health	Health
Firm Characteristics	1022		
Innovation and Technology	1022	Science and technology	
生活安全及品質	1020		
Agriculture	1019	Agriculture, fisheries, forestry and food	Farming
23) การวิจัยและพัฒนานวัตกรรม	1000	Science and technology	
静岡県-統計・調査	994		
Financial Consumer Protection : Internal Dispute Resolution	992	Economy and finance	Economy
ÖKS15	982		
Greek Hub	981		
運輸・観光	981		
Función pública	976		
Empleo	973		
Sector Público	950	Government and public sector	
Crime	948		
RCP8.5 - "Business as usual"	945		
8.CYSTAT-DB	922		
Global Partnership Funding	920		
環境	914	Environment	Environment
RCP4.5 - "Effective Measures"	914		
Agricultural census 2001	912	Agriculture, fisheries, forestry and food	Farming
Agriculture, Ressources Hydrauliques et Pêche Maritime	909	Agriculture, fisheries, forestry and food	Farming
Labour market	895		
NNDSS	885		
Statistik	884		
Health and Human Services	869	Health	Health
Financial Consumer Protection : Enforcement Powers	868	Economy and finance	Economy
Financial Inclusion : Financial Institutions	868	Economy and finance	Economy
Financial Consumer Protection : Legal Framework	868	Economy and finance	Economy
Financial Inclusion : Account Costs	868	Economy and finance	Economy
Economic Policy & Debt: National accounts: Local currency at constant prices: Other items	858	Economy and finance	Economy
Agriculture and Fishing	854	Agriculture, fisheries, forestry and food	Farming
Economy and finance	853	Economy and finance	Economy
Surface Forecast From HYCOM	853		
Trasparenza	853	Government and public sector	
Observed Ocean Color From CMEMS	847	Environment	Oceans
Business sectors	846		
Temperature	835	Environment	Environment
Burkina Faso	833		
{"de": "Justiz, Rechtssystem und öffentliche Sicherheit", "en": "Justice, legal system and public safety", "fr": "Justice, système juridique et sécurité publique", "it": "Giustizia, sistema giuridico e sicurezza pubblica"}	830		
Urbanismo e infraestructuras	822	Regions and cities	
Economic Accounts	819	Economy and finance	Economy
Ekonomi	817	Economy and finance	Economy
Economic Policy & Debt: External debt: Terms	816	Economy and finance	Economy
Trasporti	816	Transport	Transportation
Poverty Rates	814	Economy and finance	Economy
Κυβέρνηση και δημόσιος τομέας	794		
H2	788		
LPPD	778		
Access to energy	777	Energy	
Energy & Environment	770	Energy|Environment	Environment
Energía	767	Energy	
Social life. Archive	762		
Kenya	760		
Housing & Properties	759	Regions and cities	Planning / Cadastre
Mathematical Sciences	756	Science and technology	
Samfelag	746		
Financial Inclusion : Credit Infrastructure	744	Economy and finance	Economy
GSmicro	734		
Employment	733		
intelligenceMilitary	731	Government and public sector	Intelligence / Military
Данные ЦБ РФ	721	Economy and finance	
Irregular surveys	711		
情報通信・科学技術	710		
Survey of Health, Ageing and Retirement in Europe (SHARE)	708	Health	Health
Pemerintahan	698	Government and public sector	
Resultados provinciais Censo17	697		
まちづくり	691		
Service Delivery	690		
Bias corrected	686		
Culture	682	Education, culture and sport	
Economic Policy & Debt: External debt: Currency composition	680	Economy and finance	Economy
Adjusted Budget Vote Documents	676	Government and public sector|Economy and finance	Economy
Population and Housing Census	675	Population and society	Society
Landeshauptstadt Düsseldorf	674		
Precipitation	672	Environment	Environment
Environnement	671	Environment	Environment
GDP, consumtion, gross fixed capital formation and foreign trade	663		
United States	660		
Poverty: Conflict & fragility	660	Economy and finance	Economy
Business	660	Economy and finance	Economy
Housing	656		Structure|Planning / Cadastre
Pacific Women Lead	654		
Regioni e città	651	Regions and cities	
Access to Financial Services	651	Economy and finance	Economy
Administration et action publique	642	Government and public sector	
Cultura	639	Education, culture and sport	
Ease of doing business	639		
Statistics	639		
Archive	635		
Economía y finanzas	634	Economy and finance	Economy
Demographics	631	Population and society	Society
Social life	629		
Science	628	Science and technology	
Financial Inclusion : Policies	620	Economy and finance	Economy
Government reporting and policy	620	Government and public sector	
Affaires Locales	618		
World	612		
NCHS	606		
LUKE	603		
Environment: Emissions & pollution	598	Environment	Environment
Ciencia y tecnología	595	Science and technology	
Transport and Communications	595	Transport	Transportation
Expenditures	593		
Aménagement et urbanisme	592		
population	592	Population and society	Society
16) เศรษฐกิจฐานราก	591	Economy and finance	Economy
Environnement et climat	590	Environment	Environment
Census	587	Population and society	Society
e-Stat分類-人口	586		
Economia e finanze	584	Economy and finance	Economy
Informality	584		
Education and Training	582	Education, culture and sport	Society
Данные системы ЕСИМО	581	Environment	Oceans
Economía y Finanzas	580	Economy and finance	Economy
Environment, land and water	578	Environment	Environment
Accountable Government Act	570		
Business and industry	568		
Statistica	568		
Population and society	567	Population and society	Society
18) การเติบโตอย่างยั่งยืน	566		
Trade: International Merchandise and Domestic	561		
Ambiente y Desarrollo Sostenible	560		
Vero	559		
สาขาทรัพยากรธรรมชาติและสิ่งแวดล้อม	557	Environment	Environment
Participation in leisure activities	552		
Trade (internal and external)	551	Economy and finance	Economy
Census 2011	543	Population and society	Society
Effective exchange rates	542		
Tanzania	541		
Biota	540	Environment	Biota
habitat	540		
MICS	540		
Internationale Themen	538	International issues	
Consumer prices	538		
Municipal elections	536		
Ethiopia	535		
econ	534		
Gender: Agency	532	Population and society	Society
Private Sector & Trade: Trade price indices	532		
Economic Policy & Debt: National accounts: Atlas GNI & GNI per capita	532	Economy and finance	Economy
DFW Publications	529		
Ibuar	527		
ทรัพยากรธรรมชาติและสิ่งแวดล้อม	523	Environment	Environment
Comercio, Industria y Turismo	511		
Sozialleistungen	510		
子育て	509		
Medio Ambiente	507	Environment	Environment
4) อุตสาหกรรมและบริการแห่งอนาคต	506		
Business and Economy	504	Economy and finance	Economy
Population and Housing Census 2011	503	Population and society	Society
Tourism	503	Education, culture and sport	
Public finances	500	Economy and finance	Economy
統計	498		
Haleandhearty	497		
Financial Consumer Protection : Responsible Lending	496	Economy and finance	Economy
RPJMD 2021-2026	496		
Infrastructures	495	Regions and cities	
Διεύθυνση Πληροφορικής και Επικοινωνιών	488		
Precipitation Forecast From AROME	488		
Surface Wind Forecast From AROME	488		
Air Surface Temperature Forecast	487		
Income Inequality	486	Economy and finance	Economy
Mean Sea Level Pressure Forecast	486	Environment	Climatology / Meteorology / Atmosphere|Oceans
Liikenne	486		
Estadísticas	483		
Alueet ja kaupungit	482		
