Name,Count,Source,Type,EN ISO 19115,Data theme,Countries
Environment and conservation,2362,CKAN,Theme,Environment,ENVI,
Education,2337,DCAT,Theme,,EDUC,
Verbraucherschutz,2329,CKAN,Theme,,JUST,
Environment,2302,CKAN,Theme,Environment,ENVI,
Society,2302,,Keyword,Society,SOCI,
United Kingdom,2296,,Keyword,,,United Kingdom
budgets,2289,,Keyword,Economy,"ECON,GOVE",
Environmental Monitoring Facilities,2242,,Keyword,Environment,ENVI,
Population,2101,,Keyword,Society,SOCI,
marine environment monitoring,2081,,Keyword,Environment,ENVI,
Buildings,2080,,Keyword,Structure,,
CONTINENT > NORTH AMERICA > UNITED STATES OF AMERICA > ALASKA,2038,,Keyword,,,United States
Plant Production and Health,2028,CKAN,Theme,Health,HEAL,
geology,2028,Geonetwork,Theme,Geoscientific Information,,
environmental monitoring,2028,,Keyword,Environment,ENVI,
gulf-of-mexico,2025,,Keyword,Oceans,,
Environnement,2013,OpenDataSoft,Theme,Environment,ENVI,
Financial Inclusion,1991,CKAN,Theme,Economy,ECON,
Inclusão Financeira,1965,CKAN,Theme,Economy,ECON,
geoscientificInformation,1957,,Keyword,Geoscientific Information,,
Atmosphere and Climate,1922,DCAT,Theme,Climatology / Meteorology / Atmosphere,ENVI,
baseline population,1885,,Keyword,Society,SOCI,
Geographie und Stadtplanung,1875,CKAN,Theme,Planning / Cadastre,REGI,
society,1821,,Keyword,Society,SOCI,
Housing & Properties,1782,OpenDataSoft,Theme,Planning / Cadastre,REGI,
finance,1768,,Keyword,,ECON,
planning-cadastre,1746,,Keyword,Planning / Cadastre,,
COVID-19,1660,,Keyword,Health,HEAL,
Nigeria,1657,CKAN,Theme,,,Nigeria
Building,1655,,Keyword,Structure,,
Medio ambiente,1650,CKAN,Theme,Environment,ENVI,
Continent > North America > United States Of America > Hawaii,1635,,Keyword,,,United States
Sensitivity maps,1632,,Keyword,Imagery / Base Maps / Earth Cover,,
Population,1630,CKAN,Theme,Society,SOCI,
Pendidikan,1624,CKAN,Theme,,EDUC,
Health,1621,DCAT,Theme,Health,HEAL,
Education,1574,CKAN,Theme,,EDUC,
United States of America,1572,,Keyword,,,United States
geoscientific-information,1560,,Keyword,Geoscientific Information,,
government,1555,,Keyword,,GOVE,
Ortho-imagerie,1534,,Keyword,Imagery / Base Maps / Earth Cover,,
nigeria,1524,,Keyword,,,Nigeria
demographic,1513,,Keyword,Society,SOCI,
coastal base map,1506,,Keyword,Imagery / Base Maps / Earth Cover,,
Coastal Base Map,1502,,Keyword,Imagery / Base Maps / Earth Cover,,
Finance,1483,CKAN,Theme,,ECON,
Earth Science > Oceans > Marine Environment Monitoring,1470,,Keyword,"Environment,Oceans",ENVI,
